,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type
0,"(41.44708901024058, 2.2477521195123518)","(41.445626, 2.249721)",52.8,231.5,4.384469696969697,5.765,1.401,-0.018850971246641,-1.885097124664109,-0.0188487387677888,1,0,0
1,"(41.445626, 2.249721)","(41.445114749179176, 2.2487049169050413)",21.46666666666667,111.9,5.212732919254658,1.401,4.037,0.0235567484933207,2.3556748493320714,0.0235523925701142,0,0,0
2,"(41.445114749179176, 2.2487049169050413)","(41.442869380485796, 2.247343190807656)",80.26666666666667,390.2,4.8612956810631225,4.037,3.731,-0.0007842138203396,-0.0784213820339654,-0.0007842136595781,1,0,0
3,"(41.442869380485796, 2.247343190807656)","(41.443755, 2.246565)",22.26666666666667,116.1,5.214071856287425,3.731,-0.711,-0.038260119829991,-3.8260119829991073,-0.038241467353025,1,0,0
4,"(41.443755, 2.246565)","(41.44594285014911, 2.244803937458771)",66.13333333333334,290.2,4.388104838709677,-0.711,6.574,0.0251033764555896,2.5103376455589625,0.0250981052373807,0,0,0
5,"(41.44594285014911, 2.244803937458771)","(41.44792407982241, 2.2433456049499902)",53.46666666666666,250.4,4.683291770573566,6.574,9.594,0.0120607027992272,1.2060702799227292,0.0120601180647643,1,0,0
6,"(41.44792407982241, 2.2433456049499902)","(41.44907888278456, 2.2452204848909982)",59.86666666666667,260.7,4.35467706013363,9.594,10.271,0.0025968547977612,0.2596854797761286,0.002596848960354,1,0,0
7,"(41.44907888278456, 2.2452204848909982)","(41.450534450628155, 2.245014527919616)",53.33333333333333,189.9,3.5606250000000004,10.271,15.671,0.0284360169485533,2.8436016948553307,0.0284283561436052,1,0,0
8,"(41.450534450628155, 2.245014527919616)","(41.452901037488374, 2.243501274035628)",66.93333333333334,292.0,4.362549800796812,15.671,23.984,0.0284691771415814,2.846917714158149,0.0284614895135015,1,0,0
9,"(41.452901037488374, 2.243501274035628)","(41.454426, 2.243466)",39.33333333333333,214.8,5.461016949152543,23.984,33.401,0.0438407901501078,4.3840790150107845,0.0438127349461655,1,0,0
10,"(41.454426, 2.243466)","(41.456463818450636, 2.2429899162688547)",27.599999999999998,231.5,8.387681159420291,33.401,44.31,0.0471231118649179,4.7123111864918,0.047088277930481,0,0,0
