,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type
0,"(41.44708901024058, 2.2477521195123518)","(41.445626, 2.249721)",79.2,231.5,2.922979797979798,5.765,1.401,-0.018850971246641,-1.885097124664109,-0.0188487387677888,1,0,0
1,"(41.445626, 2.249721)","(41.445114749179176, 2.2487049169050413)",32.2,111.9,3.4751552795031055,1.401,4.037,0.0235567484933207,2.3556748493320714,0.0235523925701142,0,0,0
2,"(41.445114749179176, 2.2487049169050413)","(41.442869380485796, 2.247343190807656)",120.4,390.2,3.240863787375415,4.037,3.731,-0.0007842138203396,-0.0784213820339654,-0.0007842136595781,1,0,0
3,"(41.442869380485796, 2.247343190807656)","(41.443755, 2.246565)",33.4,116.1,3.4760479041916166,3.731,-0.711,-0.038260119829991,-3.8260119829991073,-0.038241467353025,1,0,0
4,"(41.443755, 2.246565)","(41.44594285014911, 2.244803937458771)",99.2,290.2,2.9254032258064515,-0.711,6.574,0.0251033764555896,2.5103376455589625,0.0250981052373807,0,0,0
5,"(41.44594285014911, 2.244803937458771)","(41.44792407982241, 2.2433456049499902)",80.2,250.4,3.1221945137157108,6.574,9.594,0.0120607027992272,1.2060702799227292,0.0120601180647643,1,0,0
6,"(41.44792407982241, 2.2433456049499902)","(41.44907888278456, 2.2452204848909982)",89.8,260.7,2.903118040089087,9.594,10.271,0.0025968547977612,0.2596854797761286,0.002596848960354,1,0,0
7,"(41.44907888278456, 2.2452204848909982)","(41.450534450628155, 2.245014527919616)",80.0,189.9,2.3737500000000002,10.271,15.671,0.0284360169485533,2.8436016948553307,0.0284283561436052,1,0,0
8,"(41.450534450628155, 2.245014527919616)","(41.452901037488374, 2.243501274035628)",100.4,292.0,2.9083665338645415,15.671,23.984,0.0284691771415814,2.846917714158149,0.0284614895135015,1,0,0
9,"(41.452901037488374, 2.243501274035628)","(41.454426, 2.243466)",59.0,214.8,3.6406779661016953,23.984,33.401,0.0438407901501078,4.3840790150107845,0.0438127349461655,1,0,0
10,"(41.454426, 2.243466)","(41.456463818450636, 2.2429899162688547)",41.4,231.5,5.591787439613527,33.401,44.31,0.0471231118649179,4.7123111864918,0.047088277930481,0,0,0
11,"(41.456463818450636, 2.2429899162688547)","(41.458670382475034, 2.2420503271993906)",54.39999999999999,258.6,4.753676470588236,44.31,51.66,0.0284222678813654,2.84222678813654,0.0284146181796617,1,0,0
12,"(41.458670382475034, 2.2420503271993906)","(41.46172911226626, 2.2410549443084196)",71.00000000000001,349.9,4.928169014084506,51.66,66.322,0.0419033973957682,4.190339739576821,0.0418788972177806,1,0,0
13,"(41.46172911226626, 2.2410549443084196)","(41.46421867656383, 2.2392932113284854)",56.6,314.2,5.551236749116607,66.322,79.162,0.0408657032695262,4.086570326952628,0.0408429773840834,1,0,0
14,"(41.46421867656383, 2.2392932113284854)","(41.465064, 2.238387)",34.0,120.9,3.5558823529411767,79.162,82.508,0.0276757706483599,2.7675770648359954,0.0276687078242797,1,0,0
15,"(41.465064, 2.238387)","(41.4660312249762, 2.238698948784144)",49.0,143.2,2.9224489795918367,82.508,88.82,0.0440781875695596,4.407818756955962,0.0440496744938447,0,0,0
16,"(41.4660312249762, 2.238698948784144)","(41.467942, 2.24225)",107.2,368.4,3.4365671641791042,88.82,90.045,0.0033251858689497,0.3325185868949766,0.0033251736136583,1,0,0
17,"(41.467942, 2.24225)","(41.468972, 2.242223)",244.6,817.8,3.3434178250204414,90.045,100.71,0.0130410869595589,1.3041086959558994,0.0130403477359909,0,0,0
18,"(41.468972, 2.242223)","(41.469742, 2.243274)",37.0,123.0,3.324324324324324,100.71,111.788,0.090065064469004,9.006506446900406,0.0898227154963413,0,0,0
19,"(41.469742, 2.243274)","(41.471251610523964, 2.2436608586594042)",32.6,181.0,5.552147239263803,111.788,124.654,0.0710828580909012,7.108285809090124,0.0709634979004871,0,0,0
20,"(41.471251610523964, 2.2436608586594042)","(41.473082, 2.239689)",75.0,418.2,5.576,124.654,161.821,0.0888737441819572,8.887374418195728,0.0886408558642548,1,0,0
21,"(41.473082, 2.239689)","(41.473823, 2.2388)",29.800000000000004,124.5,4.177852348993288,161.821,168.867,0.0565944196708709,5.659441967087099,0.0565341128999664,0,0,0
22,"(41.473823, 2.2388)","(41.475441031261724, 2.2383170277407594)",34.400000000000006,190.7,5.54360465116279,168.867,173.801,0.0258730491794212,2.587304917942121,0.0258672782308792,0,0,0
23,"(41.475441031261724, 2.2383170277407594)","(41.478376450022616, 2.2380461887374743)",101.6,340.7,3.3533464566929134,173.801,190.68,0.049542112717154,4.954211271715402,0.0495016399033516,1,0,0
24,"(41.478376450022616, 2.2380461887374743)","(41.47999310539932, 2.238384405265703)",55.4,185.2,3.3429602888086642,190.68,195.169,0.0242387347293466,2.4238734729346656,0.0242339895183654,1,0,0
25,"(41.47999310539932, 2.238384405265703)","(41.482711, 2.239041)",92.0,307.4,3.3413043478260867,195.169,198.648,0.0113174646957089,1.131746469570897,0.0113169815336578,1,0,0
26,"(41.482711, 2.239041)","(41.48297823098797, 2.237924989149623)",40.4,109.0,2.698019801980198,198.648,201.421,0.0254404610450114,2.5440461045011467,0.0254349746752583,0,1,0
27,"(41.48297823098797, 2.237924989149623)","(41.482882, 2.237446)",34.4,113.8,3.308139534883721,201.421,201.649,0.0020034870489619,0.2003487048961994,0.0020034843683292,1,0,0
28,"(41.482882, 2.237446)","(41.482807, 2.238914)",39.4,130.5,3.3121827411167515,201.649,198.024,-0.0277777777777777,-2.7777777777777777,-0.027770636593421,0,0,0
29,"(41.482807, 2.238914)","(41.48177761431729, 2.2387817301283035)",52.6,134.6,2.55893536121673,198.024,198.784,0.0056463187729267,0.5646318772926728,0.0056462587708035,0,0,0
30,"(41.48177761431729, 2.2387817301283035)","(41.48023407352979, 2.238366675586237)",52.4,175.1,3.3416030534351147,198.784,196.724,-0.0117646919394274,-1.176469193942747,-0.0117641492087628,1,0,0
