,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type
0,"(53.50443072347926, 18.775152184674265)","(53.50235035273355, 18.775391269401453)",29.066666666666666,241.3,8.301605504587156,37,31,-0.0248653128885205,-2.486531288852051,-0.0248601901821683,1,0,0
1,"(53.50235035273355, 18.775391269401453)","(53.500725, 18.776312)",24.666666666666664,196.8,7.9783783783783795,31,23,-0.040650406504065,-4.065040650406504,-0.0406280376813731,1,0,0
2,"(53.500725, 18.776312)","(53.49807254405641, 18.777627533574577)",37.06666666666666,307.4,8.293165467625899,23,22,-0.0032530904359141,-0.3253090435914119,-0.0032530789606048,0,0,0
3,"(53.49807254405641, 18.777627533574577)","(53.496657, 18.77838)",20.4,169.0,8.284313725490197,22,21,-0.0059171597633136,-0.591715976331361,-0.0059170907060273,1,0,0
4,"(53.496657, 18.77838)","(53.495658089248565, 18.772671029533495)",47.199999999999996,393.2,8.330508474576272,21,21,0.0,0.0,0.0,0,0,0
5,"(53.495658089248565, 18.772671029533495)","(53.494862, 18.769775)",32.800000000000004,213.1,6.496951219512194,21,20,-0.00469263256687,-0.4692632566870014,-0.00469259812215,1,0,0
6,"(53.494862, 18.769775)","(53.49476236330937, 18.76655399130348)",33.06666666666667,212.7,6.432459677419354,20,22,0.0094029149036201,0.9402914903620124,0.0094026377993459,0,0,0
7,"(53.49476236330937, 18.76655399130348)","(53.494209, 18.763899)",22.53333333333333,187.1,8.303254437869823,22,23,0.0053447354355959,0.5344735435595939,0.0053446845435466,1,0,0
8,"(53.494209, 18.763899)","(53.49339656336053, 18.761984728801117)",18.666666666666668,155.1,8.30892857142857,23,23,0.0,0.0,0.0,0,0,0
9,"(53.49339656336053, 18.761984728801117)","(53.49295572754373, 18.75870268027482)",43.73333333333333,320.6,7.33079268292683,23,25,0.0062383031815346,0.6238303181534622,0.0062382222592682,1,0,0
10,"(53.49295572754373, 18.75870268027482)","(53.49142013855873, 18.753146709117917)",88.53333333333335,573.7,6.480045180722891,25,28,0.0052292138748474,0.522921387484748,0.0052291662119067,1,0,0
11,"(53.49142013855873, 18.753146709117917)","(53.48866675471791, 18.751712343766652)",57.73333333333333,364.5,6.3135103926097,28,23,-0.0137174211248285,-1.3717421124828533,-0.0137165608303569,1,0,0
12,"(53.48866675471791, 18.751712343766652)","(53.48714676357741, 18.75486662163871)",40.53333333333333,318.3,7.85279605263158,23,21,-0.0062833804586867,-0.6283380458686774,-0.0062832977695365,1,0,0
13,"(53.48714676357741, 18.75486662163871)","(53.478775926640076, 18.75544785470202)",118.13333333333335,961.3,8.137415349887132,21,23,0.00208051596796,0.2080515967960054,0.0020805129660976,1,0,0
14,"(53.478775926640076, 18.75544785470202)","(53.476730455920766, 18.75661837159732)",30.133333333333333,250.5,8.313053097345133,23,25,0.0079840319361277,0.7984031936127743,0.0079838622958668,1,0,0
15,"(53.476730455920766, 18.75661837159732)","(53.46683467208045, 18.76398162085815)",155.86666666666667,1209.1,7.757271171941829,25,22,-0.0024811843519973,-0.2481184351997353,-0.0024811792603977,1,0,0
16,"(53.46683467208045, 18.76398162085815)","(53.46631444278564, 18.76818507325674)",43.066666666666656,350.4,8.13622291021672,22,23,0.0028538812785388,0.2853881278538813,0.002853873530633,1,0,0
17,"(53.46631444278564, 18.76818507325674)","(53.46470678612434, 18.771094727415104)",60.93333333333333,348.1,5.7128008752735235,23,23,0.0,0.0,0.0,1,0,0
18,"(53.46470678612434, 18.771094727415104)","(53.46147504103367, 18.77563931251242)",93.73333333333333,468.4,4.997155049786628,23,24,0.0021349274124679,0.2134927412467976,0.0021349241688709,1,0,0
19,"(53.46147504103367, 18.77563931251242)","(53.460227, 18.774688)",44.666666666666664,216.5,4.847014925373134,24,22,-0.0092378752886836,-0.9237875288683602,-0.009237612520491,1,0,1
20,"(53.460227, 18.774688)","(53.45934073769062, 18.775076744615216)",23.333333333333336,169.4,7.26,22,19,-0.0177095631641086,-1.7709563164108617,-0.0177077121037607,0,0,0
21,"(53.45934073769062, 18.775076744615216)","(53.457445131573266, 18.781929185087613)",59.99999999999999,501.6,8.360000000000001,19,19,0.0,0.0,0.0,1,0,0
22,"(53.457445131573266, 18.781929185087613)","(53.4527650427964, 18.784918633242867)",134.13333333333333,690.0,5.1441351888668,19,27,0.0115942028985507,1.1594202898550725,0.0115936834214502,1,0,0
23,"(53.4527650427964, 18.784918633242867)","(53.453851, 18.784119)",54.39999999999999,140.6,2.584558823529412,27,23,-0.0284495021337126,-2.844950213371266,-0.0284418304281952,1,0,0
24,"(53.453851, 18.784119)","(53.451767, 18.785756)",58.0,277.3,4.781034482758621,23,29,0.0216372160115398,2.1637216011539846,0.0216338403342856,0,0,0
25,"(53.451767, 18.785756)","(53.450418419224135, 18.78762595543442)",43.33333333333334,204.8,4.726153846153846,29,30,0.0048828125,0.48828125,0.0048827736954478,0,1,0
26,"(53.450418419224135, 18.78762595543442)","(53.453851, 18.784119)",77.33333333333334,482.0,6.232758620689655,30,23,-0.0145228215767634,-1.4522821576763485,-0.0145218006918249,1,0,0
27,"(53.453851, 18.784119)","(53.452753700957615, 18.784916910220815)",54.666666666666664,141.6,2.5902439024390245,23,27,0.0282485875706214,2.824858757062147,0.0282410772047877,0,0,0
28,"(53.452753700957615, 18.784916910220815)","(53.453851, 18.784119)",54.800000000000004,141.6,2.583941605839416,27,23,-0.0282485875706214,-2.824858757062147,-0.0282410772047877,1,0,0
29,"(53.453851, 18.784119)","(53.45563582883922, 18.783157695289027)",43.73333333333333,251.4,5.748475609756099,23,21,-0.0079554494828957,-0.7955449482895784,-0.0079552816579865,0,0,0
30,"(53.45563582883922, 18.783157695289027)","(53.456994, 18.784218)",20.533333333333335,170.9,8.323051948051948,21,22,0.0058513750731421,0.5851375073142189,0.0058513082935695,1,0,0
31,"(53.456994, 18.784218)","(53.457109, 18.784247)",100.40000000000002,322.5,3.2121513944223103,22,22,0.0,0.0,0.0,0,0,0
32,"(53.457109, 18.784247)","(53.457513312843425, 18.78254191479079)",14.933333333333332,124.1,8.310267857142858,22,23,0.008058017727639,0.8058017727639002,0.0080578433276386,0,0,0
33,"(53.457513312843425, 18.78254191479079)","(53.459449, 18.774906)",66.39999999999999,555.5,8.365963855421688,23,22,-0.0018001800180018,-0.18001800180018,-0.0018001780734222,1,0,1
34,"(53.459449, 18.774906)","(53.46084405941081, 18.7760458892938)",36.93333333333333,217.5,5.8889891696750905,22,21,-0.0045977011494252,-0.4597701149425287,-0.0045976687531222,0,0,0
35,"(53.46084405941081, 18.7760458892938)","(53.46265837578394, 18.774303319614148)",58.93333333333334,260.6,4.421945701357466,21,21,0.0,0.0,0.0,1,0,0
36,"(53.46265837578394, 18.774303319614148)","(53.4645391065275, 18.77145751826289)",56.53333333333333,281.6,4.981132075471699,21,23,0.0071022727272727,0.7102272727272727,0.0071021533126153,1,0,0
37,"(53.4645391065275, 18.77145751826289)","(53.46634145346498, 18.76718621050771)",79.33333333333334,443.8,5.594117647058823,23,23,0.0,0.0,0.0,1,0,0
38,"(53.46634145346498, 18.76718621050771)","(53.466649611332926, 18.764607380763675)",25.6,204.0,7.96875,23,22,-0.0049019607843137,-0.4901960784313725,-0.0049019215214491,1,0,0
39,"(53.466649611332926, 18.764607380763675)","(53.472888, 18.758831)",100.66666666666667,793.2,7.879470198675497,22,25,0.0037821482602118,0.37821482602118,0.0037821302262699,1,0,0
40,"(53.472888, 18.758831)","(53.476219561680296, 18.757223821865797)",48.93333333333334,386.1,7.890326975476839,25,24,-0.0025900025900025,-0.2590002590002589,-0.0025899967986821,0,0,0
41,"(53.476219561680296, 18.757223821865797)","(53.47767, 18.756443)",20.266666666666662,170.6,8.417763157894738,24,24,0.0,0.0,0.0,1,0,0
42,"(53.47767, 18.756443)","(53.477207, 18.755233)",12.266666666666666,105.2,8.57608695652174,24,24,0.0,0.0,0.0,0,0,0
43,"(53.477207, 18.755233)","(53.4766466099667, 18.75339406081288)",16.533333333333335,136.6,8.262096774193548,24,24,0.0,0.0,0.0,0,0,0
